pig_id,day_age,weight_kg,daily_feed_intake_kg,avg_temperature
LTW-001,1,2.69,0.1,10.7
LTW-001,2,2.16,0.114,9.7
LTW-001,3,3.05,0.11,8.6
LTW-001,4,2.97,0.187,9.1
LTW-001,5,2.9,0.1,8.2
LTW-001,6,2.94,0.121,11.2
LTW-001,7,3.28,0.201,7.3
LTW-001,8,4.14,0.184,8.3
LTW-001,9,4.14,0.1,10.4
LTW-001,10,3.48,0.1,8.6
LTW-001,11,4.25,0.1,8.6
LTW-001,12,3.94,0.1,6.8
LTW-001,13,3.87,0.188,7.9
LTW-001,14,4.52,0.2,9.0
LTW-001,15,4.64,0.172,9.9
LTW-001,16,5.22,0.244,8.3
LTW-001,17,5.05,0.267,10.5
LTW-001,18,5.01,0.179,8.8
LTW-001,19,5.34,0.102,8.7
LTW-001,20,6.18,0.196,8.5
LTW-001,21,5.53,0.225,7.2
LTW-001,22,5.76,0.237,11.2
LTW-001,23,6.16,0.34,11.1
LTW-001,24,6.18,0.312,9.3
LTW-001,25,6.09,0.203,12.3
LTW-001,26,6.91,0.338,10.4
LTW-001,27,7.05,0.319,12.5
LTW-001,28,7.13,0.452,11.6
LTW-001,29,7.43,0.317,10.7
LTW-001,30,7.85,0.246,9.0
LTW-001,31,7.96,0.192,11.3
LTW-001,32,8.99,0.331,7.2
LTW-001,33,8.61,0.326,11.1
LTW-001,34,8.4,0.322,10.3
LTW-001,35,9.03,0.306,11.0
LTW-001,36,9.53,0.346,14.7
LTW-001,37,9.65,0.428,13.7
LTW-001,38,10.57,0.386,12.9
LTW-001,39,10.0,0.442,10.6
LTW-001,40,10.98,0.411,9.8
LTW-001,41,10.86,0.423,12.5
LTW-001,42,11.24,0.397,15.5
LTW-001,43,11.62,0.552,11.7
LTW-001,44,12.04,0.466,13.6
LTW-001,45,12.03,0.478,13.2
LTW-001,46,11.97,0.511,14.5
LTW-001,47,12.59,0.53,13.2
LTW-001,48,12.93,0.567,14.2
LTW-001,49,13.48,0.466,12.9
LTW-001,50,14.77,0.535,13.1
LTW-001,51,14.07,0.558,14.2
LTW-001,52,14.85,0.562,13.5
LTW-001,53,14.97,0.561,15.2
LTW-001,54,15.16,0.537,17.3
LTW-001,55,15.9,0.605,15.5
LTW-001,56,15.9,0.708,17.5
LTW-001,57,16.17,0.651,14.6
LTW-001,58,16.33,0.658,15.8
LTW-001,59,16.98,0.583,16.4
LTW-001,60,17.77,0.565,13.9
LTW-001,61,18.32,0.661,17.0
LTW-001,62,18.99,0.772,16.3
LTW-001,63,18.61,0.718,17.0
LTW-001,64,19.55,0.736,18.2
LTW-001,65,20.0,0.959,15.5
LTW-001,66,20.54,0.686,19.2
LTW-001,67,21.14,0.851,16.0
LTW-001,68,21.36,0.88,17.9
LTW-001,69,21.78,0.885,18.3
LTW-001,70,21.93,0.798,18.3
LTW-001,71,21.74,0.908,19.9
LTW-001,72,22.85,0.858,18.2
LTW-001,73,23.1,0.841,22.3
LTW-001,74,23.61,0.898,18.8
LTW-001,75,23.95,0.946,18.1
LTW-001,76,24.59,0.947,19.8
LTW-001,77,25.37,0.966,21.2
LTW-001,78,25.5,1.059,21.9
LTW-001,79,26.19,0.975,21.8
LTW-001,80,26.45,0.992,18.4
LTW-001,81,27.34,1.049,19.8
LTW-001,82,27.44,1.106,18.6
LTW-001,83,28.07,1.084,21.9
LTW-001,84,28.54,1.148,15.6
LTW-001,85,29.28,1.139,21.0
LTW-001,86,29.9,1.111,24.1
LTW-001,87,30.39,1.223,20.5
LTW-001,88,31.17,1.135,21.1
LTW-001,89,31.65,1.311,21.7
LTW-001,90,31.76,1.293,21.4
LTW-001,91,32.41,1.265,22.0
LTW-001,92,32.88,1.252,21.3
LTW-001,93,32.93,1.287,21.2
LTW-001,94,34.25,1.374,22.7
LTW-001,95,34.86,1.383,21.4
LTW-001,96,35.09,1.352,23.2
LTW-001,97,35.51,1.357,21.3
LTW-001,98,36.48,1.383,22.2
LTW-001,99,36.65,1.486,23.9
LTW-001,100,36.65,1.378,21.3
LTW-001,101,37.48,1.466,23.8
LTW-001,102,38.36,1.416,26.6
LTW-001,103,39.14,1.508,22.2
LTW-001,104,39.5,1.564,26.9
LTW-001,105,40.06,1.511,24.0
LTW-001,106,40.27,1.497,27.9
LTW-001,107,41.49,1.594,25.0
LTW-001,108,41.46,1.539,25.4
LTW-001,109,42.55,1.685,24.6
LTW-001,110,42.21,1.699,25.6
LTW-001,111,43.66,1.688,28.0
LTW-001,112,43.59,1.611,27.0
LTW-001,113,44.13,1.684,29.0
LTW-001,114,44.95,1.754,27.1
LTW-001,115,45.96,1.737,23.9
LTW-001,116,46.44,1.851,23.6
LTW-001,117,45.89,1.845,26.3
LTW-001,118,47.68,1.929,29.0
LTW-001,119,47.7,1.739,28.2
LTW-001,120,48.48,1.905,26.8
LTW-001,121,48.56,1.81,27.7
LTW-001,122,49.32,1.87,27.9
LTW-001,123,50.33,1.894,27.3
LTW-001,124,50.08,1.858,27.6
LTW-001,125,51.54,1.933,29.3
LTW-001,126,51.94,1.903,29.9
LTW-001,127,52.2,1.935,29.9
LTW-001,128,53.01,2.032,28.6
LTW-001,129,52.79,1.95,30.7
LTW-001,130,53.41,1.993,28.2
LTW-001,131,54.55,2.051,29.2
LTW-001,132,55.44,2.061,27.4
LTW-001,133,55.38,2.105,29.8
LTW-001,134,56.6,2.086,31.8
LTW-001,135,56.89,2.077,30.3
LTW-001,136,57.36,2.244,28.4
LTW-001,137,57.97,2.192,27.7
LTW-001,138,58.73,2.22,31.2
LTW-001,139,58.52,2.252,30.7
LTW-001,140,59.8,2.229,29.6
LTW-001,141,60.11,2.266,28.8
LTW-001,142,61.22,2.307,33.0
LTW-001,143,61.36,2.28,29.9
LTW-001,144,61.99,2.315,32.5
LTW-001,145,62.68,2.388,31.1
LTW-001,146,62.75,2.287,31.6
LTW-001,147,63.98,2.503,30.8
LTW-001,148,63.94,2.348,29.2
LTW-001,149,64.12,2.304,31.0
LTW-001,150,65.05,2.383,31.1
LTW-001,151,65.78,2.41,32.4
LTW-001,152,65.95,2.462,29.3
LTW-001,153,66.87,2.495,32.0
LTW-001,154,67.67,2.59,30.7
LTW-001,155,68.12,2.522,32.4
LTW-001,156,68.08,2.566,33.0
LTW-001,157,68.76,2.584,31.2
LTW-001,158,69.9,2.575,33.3
LTW-001,159,69.94,2.617,28.9
LTW-001,160,70.38,2.629,33.2
LTW-001,161,71.22,2.708,28.9
LTW-001,162,71.65,2.61,31.8
LTW-001,163,72.1,2.698,31.2
LTW-001,164,73.11,2.733,33.2
LTW-001,165,73.19,2.755,30.6
LTW-001,166,74.14,2.811,33.4
LTW-001,167,74.66,2.768,32.2
LTW-001,168,74.86,2.764,31.5
LTW-001,169,75.31,2.775,32.1
LTW-001,170,76.06,2.902,30.8
LTW-001,171,76.07,2.845,33.7
LTW-001,172,76.74,2.854,32.3
LTW-001,173,76.2,2.786,30.4
LTW-001,174,78.31,2.834,32.4
LTW-001,175,78.48,2.913,28.3
LTW-001,176,79.02,2.95,32.4
LTW-001,177,79.27,2.952,30.3
LTW-001,178,80.41,2.948,32.0
LTW-001,179,80.06,3.033,30.3
LTW-001,180,81.31,3.003,32.6
LTW-001,181,81.69,2.966,32.0
LTW-001,182,81.24,3.051,29.9
LTW-001,183,82.81,3.044,32.8
LTW-001,184,82.78,2.961,32.1
LTW-001,185,83.24,3.16,31.2
LTW-001,186,83.79,3.135,30.7
LTW-001,187,84.07,3.048,32.9
LTW-001,188,85.28,3.123,31.8
LTW-001,189,85.67,3.194,30.9
LTW-001,190,85.31,3.174,29.1
LTW-001,191,86.42,3.204,31.1
LTW-001,192,86.3,3.181,29.6
LTW-001,193,87.07,3.259,30.0
LTW-001,194,87.1,3.256,33.7
LTW-001,195,88.02,3.197,32.7
LTW-001,196,88.27,3.26,33.8
LTW-001,197,88.99,3.281,31.8
LTW-001,198,89.09,3.217,32.5
LTW-001,199,89.79,3.314,30.9
LTW-001,200,90.19,3.25,30.2
LTW-001,201,90.69,3.288,28.2
LTW-001,202,90.83,3.306,30.5
LTW-001,203,91.62,3.332,32.5
LTW-001,204,92.33,3.39,28.3
LTW-001,205,91.95,3.326,31.2
LTW-001,206,93.22,3.446,29.8
LTW-001,207,93.37,3.458,30.5
LTW-001,208,93.9,3.399,29.8
LTW-001,209,94.14,3.416,31.2
LTW-001,210,93.66,3.412,28.2
LTW-001,211,95.04,3.472,29.9
LTW-001,212,95.48,3.487,31.0
LTW-001,213,95.57,3.411,33.0
LTW-001,214,95.94,3.567,31.0
LTW-001,215,95.88,3.441,28.9
LTW-001,216,96.73,3.533,27.7
LTW-001,217,97.96,3.472,29.6
LTW-001,218,97.75,3.566,27.8
LTW-001,219,97.99,3.6,27.8
LTW-001,220,98.75,3.739,26.4
LTW-001,221,99.2,3.533,29.6
LTW-001,222,98.87,3.649,28.0
LTW-001,223,99.26,3.698,28.0
LTW-001,224,99.25,3.665,26.7
LTW-001,225,99.94,3.655,25.7
LTW-001,226,100.62,3.717,27.6
LTW-001,227,101.15,3.667,27.7
LTW-001,228,101.42,3.692,24.8
LTW-001,229,101.71,3.659,27.6
LTW-001,230,101.68,3.699,24.2
LTW-001,231,102.95,3.67,25.0
LTW-001,232,102.52,3.683,27.5
LTW-001,233,102.76,3.79,25.2
LTW-001,234,103.22,3.739,26.5
LTW-001,235,103.69,3.704,27.8
LTW-001,236,104.11,3.809,26.9
LTW-001,237,104.32,3.702,21.7
LTW-001,238,104.88,3.786,25.3
LTW-001,239,104.97,3.781,25.3
LTW-001,240,105.68,3.782,27.3
LTW-001,241,105.22,3.861,22.7
LTW-001,242,106.2,3.834,24.1
LTW-001,243,106.53,3.765,22.3
LTW-001,244,106.29,3.88,24.6
LTW-001,245,106.92,3.879,22.3
LTW-001,246,107.62,3.928,22.2
LTW-001,247,107.95,3.859,22.1
LTW-001,248,107.86,3.838,25.6
LTW-001,249,108.08,3.857,22.3
LTW-001,250,108.94,3.894,24.1
LTW-001,251,108.11,3.838,22.0
LTW-001,252,108.99,3.919,21.3
LTW-001,253,109.27,3.85,23.9
LTW-001,254,109.53,3.978,22.3
LTW-001,255,110.47,3.941,20.8
LTW-001,256,110.33,3.931,23.4
LTW-001,257,110.77,3.896,22.0
LTW-001,258,110.92,4.046,24.8
LTW-001,259,111.61,4.052,19.9
LTW-001,260,111.99,3.995,18.1
LTW-001,261,111.64,4.051,20.2
LTW-001,262,111.43,4.034,20.2
LTW-001,263,111.92,3.884,22.2
LTW-001,264,112.67,3.981,20.5
LTW-001,265,113.04,4.077,18.0
LTW-001,266,113.09,3.985,19.8
LTW-001,267,113.37,4.088,21.0
LTW-001,268,113.75,4.092,20.0
LTW-001,269,113.8,3.989,20.2
LTW-001,270,114.18,4.082,18.0
LTW-001,271,114.4,4.068,16.4
LTW-001,272,115.29,4.111,20.4
LTW-001,273,114.87,4.016,15.2
LTW-001,274,115.56,3.968,19.5
LTW-001,275,115.43,4.021,17.4
LTW-001,276,115.75,4.023,19.3
LTW-001,277,115.66,4.015,17.7
LTW-001,278,116.37,4.155,15.0
LTW-001,279,116.66,4.169,18.0
LTW-001,280,116.66,4.054,15.7
LTW-001,281,117.29,4.173,13.9
LTW-001,282,116.94,4.201,15.1
LTW-001,283,117.43,4.162,12.8
LTW-001,284,117.65,4.066,13.4
LTW-001,285,118.34,4.151,15.4
LTW-001,286,118.12,4.086,13.2
LTW-001,287,117.85,4.163,15.9
LTW-001,288,118.45,4.13,15.3
LTW-001,289,118.6,4.109,15.3
LTW-001,290,118.86,4.15,14.8
LTW-001,291,119.68,4.18,15.8
LTW-001,292,119.2,4.173,14.9
LTW-001,293,119.34,4.191,14.3
LTW-001,294,119.81,4.104,14.9
LTW-001,295,119.9,4.164,12.8
LTW-001,296,120.27,4.18,11.6
LTW-001,297,120.17,4.231,13.8
LTW-001,298,120.41,4.256,11.8
LTW-001,299,120.8,4.09,14.9
LTW-001,300,120.54,4.351,11.6
LTW-002,1,1.86,0.139,6.0
LTW-002,2,2.29,0.1,5.1
LTW-002,3,2.16,0.1,11.0
LTW-002,4,2.22,0.1,7.0
LTW-002,5,2.31,0.1,6.3
LTW-002,6,2.16,0.1,6.3
LTW-002,7,2.62,0.1,7.6
LTW-002,8,3.05,0.1,8.6
LTW-002,9,2.91,0.128,11.1
LTW-002,10,3.34,0.1,4.9
LTW-002,11,2.69,0.126,8.2
LTW-002,12,3.3,0.1,9.7
LTW-002,13,3.84,0.14,6.7
LTW-002,14,3.95,0.151,9.9
LTW-002,15,4.58,0.16,8.6
LTW-002,16,3.35,0.115,11.9
LTW-002,17,4.01,0.221,11.4
LTW-002,18,4.58,0.203,7.3
LTW-002,19,4.56,0.233,7.8
LTW-002,20,4.3,0.194,10.5
LTW-002,21,5.76,0.125,10.3
