epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1435,1.35748,3.62481,1.34437,0.56969,0.27293,0.31015,0.21433,1.02326,3.16003,1.14252,0.00326389,0.00326389,0.070625
2,235.3,1.11358,1.80794,1.14815,0.60457,0.64974,0.46191,0.32751,1.01285,2.27868,1.09645,0.00653191,0.00653191,0.0405597
3,344.876,1.23464,1.66008,1.19751,0.37621,0.3917,0.41074,0.2857,1.02127,2.03575,1.08328,0.00973393,0.00973393,0.0104284
4,478.765,1.12664,1.59654,1.09642,0.38575,0.76923,0.52531,0.37131,1.07773,2.25452,1.08147,0.009703,0.009703,0.009703
5,623.627,1.17917,1.08782,1.15031,0.50307,0.56442,0.54727,0.38681,1.10716,0.96024,1.12097,0.009604,0.009604,0.009604
6,786.3,1.14454,1.15302,1.13125,0.44203,0.66302,0.58466,0.42066,1.03764,0.7874,1.07272,0.009505,0.009505,0.009505
7,1164.53,1.17763,0.84082,1.1535,0.83297,0.60922,0.66325,0.45774,1.08634,0.70043,1.10551,0.009406,0.009406,0.009406
8,1356.06,1.11195,0.73788,1.13529,0.62308,0.66224,0.61347,0.43516,1.06786,0.85939,1.13175,0.009307,0.009307,0.009307
9,1497.7,1.10218,0.70401,1.12853,0.55722,0.77105,0.69978,0.49111,1.06395,0.83414,1.12592,0.009208,0.009208,0.009208
10,1677.41,1.08583,0.70171,1.12991,0.88074,0.573,0.71787,0.52604,1.05507,0.65944,1.11169,0.009109,0.009109,0.009109
11,1832.97,1.05844,0.69969,1.1264,0.58517,0.56296,0.59017,0.44203,1.01351,0.75822,1.07988,0.00901,0.00901,0.00901
12,2004.26,1.04754,0.67631,1.13031,0.81398,0.58817,0.67659,0.50039,0.99436,0.6904,1.11413,0.008911,0.008911,0.008911
13,2144.55,1.00318,0.63243,1.09933,0.49296,0.88922,0.70418,0.51726,1.02999,0.70286,1.14929,0.008812,0.008812,0.008812
14,2311.01,1.03712,0.60553,1.10613,0.85325,0.58137,0.72401,0.49962,1.18499,0.81449,1.22661,0.008713,0.008713,0.008713
15,2472.56,1.00152,0.60687,1.09472,0.58986,0.8408,0.75372,0.55809,0.96423,0.61818,1.05424,0.008614,0.008614,0.008614
16,2634.46,0.96688,0.60609,1.08486,0.54669,0.75358,0.73362,0.53961,0.99341,0.81203,1.09347,0.008515,0.008515,0.008515
17,2782.35,0.99677,0.58064,1.11043,0.70209,0.78522,0.78965,0.58892,0.97675,0.57819,1.08221,0.008416,0.008416,0.008416
18,3206.75,0.98054,0.55186,1.10454,0.64486,0.74544,0.76908,0.58794,0.96049,0.53774,1.06491,0.008317,0.008317,0.008317
19,3341.04,0.96004,0.56333,1.09121,0.5966,0.88128,0.75066,0.56118,0.94293,0.62641,1.06847,0.008218,0.008218,0.008218
20,3513.6,0.95605,0.55547,1.07871,0.75755,0.83446,0.83872,0.62928,0.95824,0.61333,1.07197,0.008119,0.008119,0.008119
21,3667.52,0.94214,0.53484,1.08336,0.73283,0.78099,0.86505,0.64329,0.96813,0.5518,1.10388,0.00802,0.00802,0.00802
22,3878.06,0.91632,0.53171,1.07993,0.62221,0.82733,0.84144,0.61183,0.9485,0.67118,1.10944,0.007921,0.007921,0.007921
23,4030.93,0.91693,0.51484,1.07578,0.60662,0.74024,0.77561,0.58572,0.94913,0.72019,1.14007,0.007822,0.007822,0.007822
24,4222.21,0.91886,0.51147,1.06948,0.73916,0.79002,0.78164,0.58663,0.93244,0.67327,1.10644,0.007723,0.007723,0.007723
25,4362.04,0.8931,0.49927,1.06766,0.67686,0.86299,0.80736,0.61564,0.94306,0.63608,1.07294,0.007624,0.007624,0.007624
26,4540,0.89043,0.49763,1.06144,0.69724,0.76312,0.74966,0.56816,0.89986,0.61237,1.06193,0.007525,0.007525,0.007525
27,4670.64,0.91029,0.50704,1.05733,0.71982,0.81544,0.80699,0.59655,0.91333,0.60023,1.07948,0.007426,0.007426,0.007426
28,4846.16,0.8861,0.46763,1.0518,0.6058,0.71369,0.76027,0.57131,0.95778,0.69857,1.08707,0.007327,0.007327,0.007327
29,4977.43,0.87112,0.44624,1.03591,0.73255,0.81229,0.816,0.62459,0.87051,0.59602,1.06142,0.007228,0.007228,0.007228
30,5141.48,0.85378,0.47073,1.05368,0.77919,0.67685,0.75656,0.5786,0.87646,0.617,1.08974,0.007129,0.007129,0.007129
31,5271.74,0.82242,0.47653,1.03832,0.81398,0.73907,0.85847,0.65927,0.88816,0.62318,1.10756,0.00703,0.00703,0.00703
32,5417.95,0.84192,0.4404,1.04949,0.71046,0.8444,0.84599,0.63374,0.93044,0.61597,1.1137,0.006931,0.006931,0.006931
33,5549.61,0.81844,0.44649,1.03238,0.8328,0.737,0.81672,0.6425,0.85964,0.54064,1.04885,0.006832,0.006832,0.006832
34,5694.25,0.79853,0.40623,1.00904,0.8607,0.75273,0.85382,0.65979,0.89071,0.59263,1.05847,0.006733,0.006733,0.006733
35,5822.2,0.79927,0.4201,1.01375,0.75383,0.69894,0.79036,0.60981,0.90804,0.77463,1.09779,0.006634,0.006634,0.006634
36,5964.46,0.81194,0.43872,1.01922,0.80449,0.73493,0.84956,0.65739,0.88297,0.63527,1.09562,0.006535,0.006535,0.006535
37,6093.2,0.7793,0.4084,1.01399,0.66555,0.84884,0.82024,0.65417,0.86261,0.59193,1.09413,0.006436,0.006436,0.006436
38,6239.36,0.77556,0.38737,1.01384,0.82024,0.73172,0.827,0.6595,0.86495,0.5686,1.07991,0.006337,0.006337,0.006337
39,6360.55,0.7967,0.42601,1.02224,0.82616,0.83747,0.87474,0.66275,0.87055,0.60302,1.08294,0.006238,0.006238,0.006238
40,6506.46,0.76065,0.40271,1.01426,0.78394,0.82276,0.86305,0.67047,0.86382,0.63789,1.09906,0.006139,0.006139,0.006139
41,6641.01,0.75444,0.42534,1.00708,0.75622,0.80291,0.81816,0.64597,0.8731,0.70403,1.08363,0.00604,0.00604,0.00604
42,6787.22,0.7727,0.47046,1.00619,0.78449,0.78775,0.85874,0.67298,0.85163,0.61935,1.06055,0.005941,0.005941,0.005941
43,6923.97,0.76042,0.4113,0.98856,0.80275,0.7812,0.85992,0.68027,0.82947,0.64945,1.0491,0.005842,0.005842,0.005842
44,7075.69,0.7414,0.38906,0.98539,0.76439,0.802,0.86324,0.67131,0.84398,0.60163,1.05812,0.005743,0.005743,0.005743
45,7202.64,0.74953,0.39456,0.99744,0.82238,0.72008,0.84579,0.66626,0.84046,0.61508,1.07349,0.005644,0.005644,0.005644
46,7347.33,0.72645,0.3764,0.97983,0.7913,0.79874,0.83182,0.65032,0.8335,0.67144,1.04318,0.005545,0.005545,0.005545
47,7481.92,0.7299,0.38794,0.97893,0.90775,0.72068,0.87654,0.68542,0.82867,0.53905,1.07365,0.005446,0.005446,0.005446
48,7632.55,0.72326,0.38092,0.99022,0.77484,0.89152,0.90263,0.71445,0.79697,0.52265,1.06161,0.005347,0.005347,0.005347
49,7765.25,0.68476,0.34023,0.9698,0.83209,0.8139,0.88293,0.69082,0.83367,0.56149,1.08537,0.005248,0.005248,0.005248
50,7912.17,0.70207,0.36728,0.96995,0.84022,0.82363,0.88263,0.70851,0.83376,0.58909,1.10332,0.005149,0.005149,0.005149
51,8554.93,0.70667,0.35381,0.98503,0.8413,0.80866,0.86542,0.68983,0.83763,0.56042,1.08701,0.00505,0.00505,0.00505
52,8683.85,0.69238,0.34451,0.97676,0.80497,0.8235,0.86507,0.68656,0.82606,0.51378,1.07451,0.004951,0.004951,0.004951
53,8796.92,0.66496,0.31684,0.96788,0.76426,0.82789,0.81814,0.65695,0.83277,0.62393,1.06183,0.004852,0.004852,0.004852
54,8934.1,0.66367,0.31012,0.95914,0.82691,0.81004,0.82335,0.65717,0.80845,0.57888,1.07011,0.004753,0.004753,0.004753
55,9056.14,0.69235,0.33562,0.98026,0.84021,0.79095,0.84253,0.67707,0.80301,0.60108,1.05039,0.004654,0.004654,0.004654
56,9184.3,0.67027,0.33653,0.96986,0.84118,0.7733,0.84559,0.68426,0.79402,0.56786,1.04206,0.004555,0.004555,0.004555
57,9307.83,0.66939,0.3238,0.96835,0.82202,0.81951,0.85266,0.69511,0.79512,0.59301,1.05262,0.004456,0.004456,0.004456
58,9416.94,0.6418,0.3139,0.95737,0.8204,0.75028,0.83374,0.68163,0.78573,0.66055,1.05924,0.004357,0.004357,0.004357
59,9541.96,0.62761,0.30511,0.96363,0.86745,0.82644,0.85723,0.69108,0.81439,0.57844,1.06817,0.004258,0.004258,0.004258
60,9663.48,0.64344,0.29951,0.96154,0.84387,0.83857,0.8576,0.69964,0.80939,0.62266,1.07086,0.004159,0.004159,0.004159
61,9850.66,0.64546,0.31334,0.97081,0.81993,0.81744,0.87222,0.72189,0.77874,0.59809,1.05683,0.00406,0.00406,0.00406
62,10009.6,0.63595,0.32529,0.96644,0.80775,0.82722,0.86326,0.70406,0.77162,0.55242,1.03787,0.003961,0.003961,0.003961
